text,created_at,source,id,author_id,,,,
"@GrabMY Sebab grabmart memudahkan urusan saya semasa saya kuarantin dec 2020, saya urgent nak beli cable android. Terimakasih grab! Memudahkan urusan semua 😍 @aninahmad12 @nrsyaa__",2021-08-30T05:23:49.000Z,Twitter for Android,1.43E+18,1100860344,,,,
Nape la @GrabMY tak sudi nk balas.,2021-08-30T05:18:19.000Z,Twitter for Android,1.43E+18,1388944322,,,,
@GrabMY Thanks for answering :),2021-08-30T05:08:01.000Z,Twitter for iPhone,1.43E+18,226189185,,,,
@GrabMY The best 🤤,2021-08-30T04:59:17.000Z,Twitter for Android,1.43E+18,302618139,,,,
@GrabMY Yang sampainya ni… Big Mac Burger and Mc Flurry which I tak order langsung. Ice cream pun jadi air dah. Large Fries and Large Milo Ice nya yang xde. Salah menu ni my dad dapat. 😔🥺 https://t.co/8H4dvDIz6j,2021-08-30T04:40:41.000Z,Twitter for iPhone,1.43E+18,198066277,,,,
"@GrabMY Thank you Admin! Syukur! 🤲🏻
But I order bende lain, sampai bende lain… how can this be? Huhu
Ordered this: https://t.co/dqU1s1lGmt",2021-08-30T04:39:34.000Z,Twitter for iPhone,1.43E+18,198066277,,,,
Green Takoyaki 😍 https://t.co/RKlTdgBWaH https://t.co/byUSfGE0c1,2021-08-30T04:21:52.000Z,Twitter for iPhone,1.43E+18,463709964,,,,
@GrabMY Chee cheong fun,2021-08-30T04:19:01.000Z,Twitter for iPhone,1.43E+18,416073769,,,,
@GrabMY Thank you 😍🥰🥰,2021-08-30T04:17:37.000Z,Twitter for iPhone,1.43E+18,90899185,,,,
@GrabMY hi. saya ada problem nak redeem grab voucher yang saya beli from hotlink. boleh tolong assist?,2021-08-30T04:17:32.000Z,Twitter for iPhone,1.43E+18,2258780808,,,,
@GrabMY Maggi kari bang grab huhuhi,2021-08-30T04:07:15.000Z,Twitter for Android,1.43E+18,302618139,,,,
